Antonym-pairs
absence, presence
accept, refuse
accurate, inaccurate
advantage, disadvantage
alive, dead
always, never
ancient, modern
answer, question
approval, disapproval
approached, receded
abundant, scarce
admit, deny
advance, retreat
artificial, natural
arrival, departure
ascend, descend
attack, defense
attractive, repulsive
attention, inattention
asleep, awake
ally, enemy
agree, disagree
bad, good
backward, forward
bend, straighten
beautiful, ugly
beginning, ending
below, above
bent, straight
big, small
blunt, sharp
better, worse
best, worst
blame, praise
bless, curse
bitter, sweet
borrow, lend
bravery, cowardice
build, destroy
bold, timid
bright, dull
broad, narrow
clear, vague,
careful, rush
calm, troubled
capable, incapable
captivity, freedom
cellar, attic
cheap, expensive
close, distant
clever, stupid
cold, hot
combine, separate
clockwise, anti-clockwise
correct, incorrect
conceal, reveal
come, go
common, rare
comfort, discomfort
courage, cowardice
cruel, kind
courteous, discourteous
cunning, simple
dainty, clumsy
danger, safety
dark, light
deep, shallow
decrease, increase
definite, indefinite
demand, supply
despair, hope
disappear, appear
disease, health
discourage, encourage
dismal, cheerful
doctor, patient
dry, wet
dull, clearbright
dusk, dawn
early, late
easy, difficult
ebb, flow
East, West
economise, waste
encourage, discourage
entrance, exit
employer, employee
empty, full
excited, calm
end, beginning
expand, contract
expensive, inexpensive
export, import
exterior, interior
external, internal
fail, succeed
FALSE, TRUE
feeble, sturdy
foolish, wise
fast, slow
few, many
famous, unknown
forelegs, hind legs
fat, thin
find, lose
first, last
freedom, captivity
fold, unfold
frequent, seldom
forget, remember
found, lost
fresh, stale
friend, enemy
fortunate, unfortunate
frank, secretive
full, empty
generous, mean
gentle, rough
gather, distribute
glad, sorry
gloomy, cheerful
giant, dwarf
granted, refused
great, minute
guardian, ward
guest, host
guilty, innocent 
