male-female
Father,Mother
Son,Daughter
Brother,Sister
God,goddess
Man,Woman
Bachelor,Maid
Cock,Hen
Dog,Bitch
Bull,Cow
Drone,Bee
Gander,Goose
Waiter,Waitress
Stag,Hind
Gentleman,Lady
Earl,Countess
Husband,Wife
Dad,mom
Lord,Lady
King,Queen
Monk,Nun
Boy,Girl
Sir,Madam
Uncle,Aunt
Nephew,Niece
Daddy,mummy
Wizard,Witch
Hart,Roe
Drake,Duck
Lion,Lioness
Count,Countess
Giant,Giantess
Priest,Priestess
Prophet,Prophetess
Poet,Poetess
Patron,Patroness
Host,Hostess
Viscount,Viscountess
Shepherd,Shepherdess
Steward,Stewardess
Author,Authoress
Manager,Manageress
Bridegroom,Bride
Jew,Jewess
Baron,Baroness
Mayor,Mayoress
Peer,Peeress
Negro,Negress
Abbot,Abbess
Emperor,Empress
Traitor,Traitress
Actor,Actress
Benefactor,Benefactress
Instructor,Instructress
Conductor,Conductress
Founder,Foundress
Hunter,Huntress
Tempter,Temptress
Master,Mistress
Tiger,Tigress
Duke,Duchess
Enchanter,Enchantress
Songster,Songstress
